ProjectEntryID,VISPDAT
235436,6
236723,9
236798,7
237005,14
237007,2
237008,9
237942,8
238370,4
238374,11
239338,6
239465,9
239471,7
239473,5
239475,4
239734,5
239737,4
239752,8
239752,10
240336,13
240337,12
240342,6
240949,7
240951,5
240964,5
240977,8
241951,4
242043,8
242045,4
242496,14
242504,8
243361,4
243376,6
243600,7
245715,7
245718,6
245718,7
246880,3
246883,5
246923,8
246932,8
247204,7
247370,7
248156,5
248250,12
248252,2
248258,8
248260,4
248260,6
248266,3
248268,5
248269,8
249847,9
250038,7
250038,11
250044,9
250769,4
252088,4
252097,11
252098,13
252101,5
252912,11
253007,6
253638,3
254783,2
255970,10
256093,9
256730,4
257051,9
257053,7
257210,3
257687,13
259186,6
259808,7
260953,6
261082,6
261094,8
261258,5
261480,4
261594,4
261834,7
261835,4
261837,2
261837,3
263086,8
264357,11
264512,6
268007,8
270105,9
272860,6
274824,9
275153,8
275958,9
276264,5
277218,11
277308,8
277609,5
277738,9
278590,5
278939,12
279116,9
280178,11
281557,10
281831,6
281890,10
282293,13
282310,7
282432,12
282516,14
282596,13
283289,9
283304,11
283308,4
283336,1
284224,4
284984,12
285584,11
286987,7
287221,3
287221,5
288426,8
288939,1
289642,7
289697,9
289703,10
289707,10
290160,8
291425,2
291425,7
291493,6
293825,4
294143,7
294143,9
294143,13
294157,8
296506,2
296506,7
296506,12
297047,2
297061,12
298919,6
299250,9
299309,7
299309,9
300190,9
301786,3
303150,11
303202,11
303457,14
303461,8
307112,9
308360,15
310039,8
310578,10
311286,12
311961,3
311961,8
314731,13
315111,11
315111,12
315111,13
315878,9
315891,1
315891,1
316402,1
316402,1
316720,5
317422,7
317422,13
317950,12
319861,10
319864,8
320140,3
320140,4
320303,14
321052,8
321229,2
321229,3
321535,5
321657,1
321657,1
321662,9
321910,3
321910,8
321935,5
322530,6
322740,12
323563,4
323564,4
323565,4
324679,5
324679,14
324733,6
324733,8
324772,4
324777,8
325087,8
325227,11
325227,11
325384,9
325702,1
325702,1
326677,8
327701,12
327763,3
327778,1
327796,10
328048,11
328131,9
328145,12
328604,6
328615,4
329662,6
329763,6
330500,8
330840,2
330852,6
330856,6
331157,6
331162,6
331195,9
331195,13
331448,8
331883,2
331884,2
331887,9
332024,2
332024,7
332024,12
332042,11
332042,11
332345,8
332719,11
333064,2
333588,2
333672,10
333811,9
333983,7
334169,5
334261,8
334777,5
334865,10
334865,14
335687,9
336073,10
336073,13
336246,7
336531,5
337184,5
337376,2
338955,8
339736,8
339736,13
339981,6
339983,6
339989,6
340191,1
340307,5
340468,6
341194,2
341305,6
341430,10
341437,9
341453,14
342007,7
342024,2
342081,12
342190,8
342571,13
342685,12
342784,2
343007,5
343286,7
343378,12
343379,5
343422,9
343549,3
343549,12
343575,3
344245,2
344245,6
344561,8
344561,9
344598,12
346356,7
346718,1
346728,1
347033,3
347089,11
347247,9
347479,6
347498,7
348073,14
348300,6
348559,5
348981,3
348981,9
349190,6
349190,11
349208,4
349212,8
349235,9
349346,2
349346,4
349543,11
349596,5
350296,7
350296,8
350297,7
350297,8
350459,7
350459,13
351470,8
351964,4
351990,6
351991,1
353346,12
353433,7
353436,2
353448,12
353464,4
354776,2
354897,5
354925,8
355273,3
355273,3
355273,6
355306,8
355315,6
355315,7
355340,8
355347,7
355347,8
355506,4
355506,7
355557,10
355676,3
355679,4
355684,5
355733,3
356317,3
356617,8
356642,11
356697,5
356699,4
356699,8
356734,8
356803,11
356909,8
356913,2
356935,13
356965,9
356979,9
357030,8
357031,2
357031,4
357111,5
357383,6
357408,7
357849,6
357884,14
357911,8
357912,1
358129,4
358136,12
358278,6
358384,8
358392,8
358428,8
358428,10
358600,6
358772,6
358992,6
359007,6
359007,9
359007,11
359013,7
359128,4
359128,4
359359,10
359369,5
359808,6
359915,9
359916,9
359992,5
360049,4
360072,5
360072,8
360081,4
360099,10
360127,7
360335,4
360479,3
360693,8
360983,14
361098,3
361232,8
361812,11
361812,11
362149,4
362193,2
362243,5
362252,4
362253,4
362283,1
362289,10
362337,4
362337,8
362395,7
362473,8
363498,3
363820,5
363822,2
363822,3
364128,6
364128,10
364199,7
364873,10
364884,11
364911,6
364911,11
364985,4
365013,5
365256,6
365256,6
365256,8
365399,2
365415,10
365490,4
365713,2
365713,3
365878,9
365948,7
366070,10
366254,5
366652,4
366897,8
367027,7
367027,10
367291,4
367402,6
367402,6
367402,8
368525,5
368526,5
368542,5
368547,5
368965,5
369107,7
369202,7
369280,10
369308,9
369315,9
369363,12
369424,12
369426,9
369508,10
369765,6
369982,5
369982,8
369982,9
370094,5
370224,9
370224,11
370235,4
370253,8
370269,11
370454,8
370702,4
370724,3
370724,3
370725,3
370725,3
370726,6
370727,6
370901,6
370911,5
371031,3
371053,3
371202,2
371202,4
371202,11
371210,10
371271,11
371284,8
371680,4
371821,9
372151,7
372542,3
372580,7
372750,10
372847,3
372847,3
372849,4
372891,8
372944,8
372958,4
373051,5
373156,9
373163,2
373167,4
373677,5
374013,9
374347,10
374348,6
374686,10
374693,11
375284,7
375663,8
375721,10
375928,6
376219,13
376340,12
376345,12
376349,7
376353,9
376370,4
376386,10
376386,10
376395,9
376396,9
376399,4
376401,4
376407,6
376410,5
376410,5
376411,2
376411,4
376416,4
376420,9
376430,10
376430,10
376438,2
376438,4
376440,6
376444,4
376447,4
376461,6
376461,11
376466,1
376466,3
376483,12
376554,5
376572,7
376646,10
376648,5
376660,6
376662,5
376663,9
376670,1
376723,4
376735,13
376739,11
376744,6
376744,11
376802,5
376808,9
376809,9
376812,5
376812,5
376814,2
376814,4
376815,4
376816,6
376819,9
376822,10
376822,10
376825,9
376835,9
376838,10
376838,10
376842,4
376846,2
376846,4
376847,9
376849,5
376849,5
376850,4
376855,5
376857,5
376881,3
376882,3
376885,12
376888,3
376943,10
376943,10
376946,9
376950,5
376950,5
376953,2
376953,4
376957,9
376958,4
376959,4
376960,5
376968,5
376968,5
376969,2
376969,4
376973,4
376974,9
376979,9
376982,10
376982,10
376991,9
376995,10
376995,10
377003,5
377003,5
377006,5
377009,4
377015,4
377020,2
377020,4
377034,9
377053,7
377105,3
377105,9
377117,10
377148,9
377201,4
377208,5
377218,3
377224,9
377230,6
377356,4
377361,9
377364,10
377364,10
377369,9
377371,5
377371,5
377376,7
377378,2
377378,4
377382,9
377384,2
377384,4
377387,5
377387,5
377388,2
377389,10
377390,4
377391,7
377397,4
377406,9
377407,4
377408,5
377412,10
377412,10
377421,5
377505,2
377528,6
377581,9
377582,5
377585,10
377678,1
377696,5
377696,5
377697,2
377697,4
377699,7
377703,9
377712,6
377720,9
377722,7
377724,4
377726,4
377726,7
377728,5
377728,5
377739,2
377741,5
377754,12
377867,6
377881,5
377881,5
377884,4
377885,6
377890,9
377910,6
377912,4
377913,4
